Country_Name_en,Country_name,Income_Group,Region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guatemala,危地马拉,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,3.673131389,4.330888845,4.813398475,6.334484048,4.970304833,5.068189816,5.143556378,5.387219912,5.473356318,5.811945406,5.340509115,
Guam,关岛,高收入国家,,,,,,,,,,,,,
Guyana,圭亚那,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,0.343735764,0.110912152,0.041299672,0.189114956,0.229943637,0.122445639,0.296037698,0.216736804,0.067636221,0.197012307,0.090739357,0.071633136
High income,高收入国家,,,20.55532643,19.99129249,21.32430409,20.78198831,18.96713731,18.992969,18.71830879,18.74038906,20.06318501,19.876415,21.62971888,18.74243737
"Hong Kong SAR, China",中国香港特别行政区,高收入国家,,21.62138719,24.39523028,33.80253313,36.80868287,20.81435033,18.50069133,13.90714134,11.40523053,12.31797576,13.50280929,,
Honduras,洪都拉斯,中低等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,1.437386148,,2.313024853,2.63354558,1.727814346,2.795326568,,2.580558598,1.30869813,2.839636914,3.128162156,
Heavily indebted poor countries (HIPC),重债穷国 (HIPC),,,,,,,,7.58196562,5.750609616,5.828495835,,3.539583045,4.23618225,
Croatia,克罗地亚,高收入国家,,9.518311372,9.529844203,11.38696611,10.21288428,8.71933289,11.88540662,12.63288384,10.54799828,10.79194934,14.70290996,8.795543475,8.894408509
Haiti,海地,低收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,,,,,,,,,,,
Hungary,匈牙利,高收入国家,,25.9753988,24.94036298,26.70712893,25.90219896,25.1520344,21.20095626,19.36181143,16.68383629,,17.72430697,17.30446019,16.90261785
IBRD only,只有IBRD,,,,16.94219809,20.19893447,19.86761003,18.20697686,19.25105451,19.90130326,19.80835456,20.77621391,20.48898938,21.19195998,
IDA & IBRD total,IBRD与IDA,,,,16.63216539,19.53081451,19.07590849,17.55193969,18.47479991,19.18573102,19.15520531,20.22597476,19.93662037,20.56490511,
IDA total,IDA總,,,,,,2.027843373,3.676449532,3.576052976,3.614238509,4.080370141,,,,
IDA blend,IDA混合,,,,,2.969454904,1.690162352,1.472569475,2.104877781,3.335495121,2.966801536,,3.384193984,2.501108606,
Indonesia,印度尼西亚,中低等收入国家,东亚与太平洋地区（不包括高收入）,,,,12.0320515,10.60525054,10.64661017,9.543955534,9.243644208,8.870209397,7.943640119,8.202632328,8.018395571
IDA only,只有IDA,,,,,,,6.535942281,5.327394913,3.894858548,,3.794368984,,,
